name,category,price,price_per_kg,amount_kg,is_available,product_menu_url
کود مایع سپتا نیترو مکس نیتروژن40 1لیتری,,325000,325000.0,1.0,True,
کود کاتیوشا(سولفات پتاسیم) جنوبگان(5 لیتری),,750000,150000.0,5.0,True,
کود NPK کامل 20-20-20 به همراه ریزمغذی ها (بسیار با کیفیت) 10 کیلویی,,2046800,204680.0,10.0,True,
هیومیک اسید ابادیس پرک 70 درصد 5 کیلویی هیومیک خالص,,2000000,400000.0,5.0,True,
کود ورمی کمپوست بهکام وزن 2 کیلوگرم,,90000,45000.0,2.0,True,
خرید اینترنتی کود جلبک دریایی آکادین 1 کیلویی تولید کشور کانادا با ضمانت اصالت کالا,,2150000,2150000.0,1.0,True,
کود تقویتی جلبک دریایی گرین مارین اسپانیا 1 کیلوئی,,1920000,1920000.0,1.0,True,
متالاکسیل مانکوزب 1 کیلویی,,930000,930000.0,1.0,True,
گوگرد مایع پتاسه 40% گوگر 20% پتاسیم 5 10 20 لیتری - 20,,2200000,110000.0,20.0,True,
اسید هیومیک مایع پتاس بالا 5 10 20 لیتری - 5,,750000,37500.0,20.0,True,
سولفات پتاسیم ایرو نیکا 25 کیلوگرمی,,1730000,69200.0,25.0,True,
کود تقویتی نیترات پتاسیم K+S آلمان پودر 25 کیلوگرم کیسه,,6470000,258800.0,25.0,True,
کود سیلیکات پتاسیم 2/5 لیتری آگروفر,,735000,147000.0,5.0,True,
کود فسفر بالا NPK 10-52-10 نوبل 10 کیلوگرم,,2800000,280000.0,10.0,True,
ورمی کمپوست فله 2000 کیلویی,,10000000,5000.0,2000.0,True,
فسفیمکس مس فیوچرکو (1 لیتری),,1880000,1880000.0,1.0,True,
کود آلی روی و بور (فروت ست) کیلیترین 1 لیتری - 1,,850000,850000.0,1.0,True,
کود هیدروپونیک گوجه فرنگی (1لیتری),,350000,350000.0,1.0,True,
کود جلبک دریایی پرو تکت نیچر ارگانیک 1 کیلو,,950000,950000.0,1.0,True,
کود کامل گرانوله 10 10 10 مهاب شیمی ری 25 کیلویی,,1063000,42520.0,25.0,True,
کود گوگرد مایع لارا استار 20 لیتری,,4000000,200000.0,20.0,True,
کود تقویتی نیترات کلسیم K+S آلمان پودر 25 کیلوگرم کیسه,,3750000,150000.0,25.0,True,
کود کلاته کلسیم-بور-روی مایع کلبومکس فارمونتی CalboMax Pharmonti - 20 لیتری,,3250000,162500.0,20.0,True,
پوکه کشاورزی برای ته گلدان و هیدروپونیک کردن گیاه حجم 4 لیتری,,75000,18750.0,4.0,True,
اسید هیومیک مایع پتاس بالا 5 10 20 لیتری - 20,,2100000,105000.0,20.0,True,
کود فسفر بالا 99درصد شوک(پلاس) امریکایی 20 لیتری,,6400000,320000.0,20.0,True,
سولفونیت 20 لیتری,,1485000,74250.0,20.0,True,
سولفونیت 5 لیتری,,549000,109800.0,5.0,True,
کود ریشه زایی بیورادیکانت فیوچراکو واردات شرکت فروغ دشت 1 لیتری,,1375000,1375000.0,1.0,True,
کود اگرومیک گرانوله (محرک رشد گیاهی) وزن 25 کیلوگرم,,1650000,66000.0,25.0,True,
کودسولفات منیزیم پودری 25کیلویی کنجاله ساز,,590000,23600.0,25.0,True,
کود مرغی شوک امریکایی اورجینال 20 لیتری - 2021 میلادی,,1099000,54950.0,20.0,True,
کود مرغی مایع مهاب شیمی 10 20 لیتری,,522000,26100.0,20.0,True,
کود پودری 10-52-10 شرکت زایز انگلیس مدل growzeiz وزن 5 کیلوگرم,,2250000,450000.0,5.0,True,
کود استارتر رشد تقویت ریشه و گلدهی مونو آمونیوم فسفات وپروفرت هلند 2 کیلویی,,799000,399500.0,2.0,True,
کود مایع کامل اکتیو پلاس فارمونتی 16 عنصر (Active Plus Pharmonti (NPK10 5 5 - 5 لیتری,,952000,190400.0,5.0,True,
فلوریش گارد 1 (مقابله با کرم خراط و آفات چوبخوار) 1 کیلوگرمی,,237000,237000.0,1.0,True,
میکرومیکس بازرگان کالا بسته بندی 1 لیتری یک غذای کامل برای گیاهان,,850000,850000.0,1.0,True,
گوگرد مایع پارس خوشه 1 لیتری,,100000,100000.0,1.0,True,
مشخصات کلی کود 12-12-36 فالکون – حجم 10 کیلوگرم نام محصول: کود 12-12-36 فالکونحجم / وزن: 10 کیلوگرمنوع محصول: کود شیمیایی کاملترکیب اصلی: 12٪ نیتروژن (N) 12٪ فسفر (P) 36٪ پتاسیم (K)ویژگی‌ها: حلالیت بالا مناسب برای محلول‌پاشی دارای عناصر ریز مغذی,,2500000,250000.0,10.0,True,
کود بیورادیکانت حاصلخیز 1 لیتری با فناوری XGREEN,,350000,350000.0,1.0,True,
کود تقویتی NPK 20-20-20+ME پودر SOLUNEC سولونک ترکیه 25 کیلوگرم کیسه,,8750000,350000.0,25.0,True,
میکرومیکس فارهام - 10 کیلویی حاوی عناصر ریزمغذی,,1250000,125000.0,10.0,True,
"""کود و کمپوست تقویتی ارگانیک طبیعت شیک - بهترین تغذیه برای گیاهان"" - بسته بزرگ 6 کیلو و 500 گرم",,85000,14166.666666666666,6.0,True,
کود 12.12.36 زنیت 10کیلویی پتاس بالا,,1950000,195000.0,10.0,True,
پرلیت دانه شکری مدل PW-2s وزن 2 کیلوگرم,,95000,47500.0,2.0,True,
کود سولفات روی 34% وپروفرت هلند 2 کیلویی,,685000,342500.0,2.0,True,
کود فسفیت پتاسیم (فوس وید ) سوپر مکس 1 لیتر,,897000,897000.0,1.0,True,
کود ان پی کا 44-2-13 (پتاسیم نیترات) 10 کیلویی کوالی مکس اسپانیا,,2980000,298000.0,10.0,True,
کود مایع بور 1 لیتری بی کارب,,373000,373000.0,1.0,True,
مشخصات کلی کود 36-12-12 فالکون – حجم 2.5 کیلوگرم نام محصول: کود 36-12-12 فالکونحجم / وزن: 100 گرمنوع محصول: کود پودری محلول در آبترکیب اصلی: نیتروژن (36٪) فسفر (12٪) پتاسیم (12٪)ویژگی‌ها: حلالیت بالا قابلیت استفاده در سیستم‌های محلول‌پاشی و آبیاری مناسب برای انواع مراحل رشد گیاه,,65000,13000.0,5.0,True,
کود زر گرین 20 لیتری,,620000,31000.0,20.0,True,
کود کامل باواریا مدل 20-6-19 وزن 15 کیلوگرم,,5450000,363333.3333333333,15.0,True,
کود محرک رشد گیاهان 20 لیتری,,5480000,274000.0,20.0,True,
