,url,name,category,price,price_per_kg,amount_kg,last_price_update,is_available,product_menu_url,_pk
0,https://basalam.com/greenrose/product/11745865,خاک و کود آماده کاشت تای سیز 4 لیتری,,45000,28125,1.6,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,https://basalam.com/greenrose/product/11745865::خاک و کود آماده کاشت تای سیز 4 لیتری
1,https://basalam.com/arzankadeh7berke/product/17519442,خاک و کود بستر مخصوص گیاهان آبزی و میگوها اوشن فری,,1223800,407933.333333333,3.0,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,https://basalam.com/arzankadeh7berke/product/17519442::خاک و کود بستر مخصوص گیاهان آبزی و میگوها اوشن فری
2,https://basalam.com/goldan.felezi/product/15077837,خاک و کود آماده کاشت 4 لیتری,,40200,10050,4.0,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,https://basalam.com/goldan.felezi/product/15077837::خاک و کود آماده کاشت 4 لیتری
3,https://basalam.com/almase_sorkh/product/11141428,خاک و کود آماده کاشت گیلدا بسته 4 لیتری,,110000,47826.0869565217,2.3,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,https://basalam.com/almase_sorkh/product/11141428::خاک و کود آماده کاشت گیلدا بسته 4 لیتری
4,https://basalam.com/igool/product/16423331,خاک کود آفت کش و گلدان پلیمری پک تعویض گلدان کد 202,,499000,nan,,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,https://basalam.com/igool/product/16423331::خاک کود آفت کش و گلدان پلیمری پک تعویض گلدان کد 202
5,https://basalam.com/goldan.felezi/product/15077689,خاک و کود آماده کاشت 20 لیتری,,181700,9085,20.0,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,https://basalam.com/goldan.felezi/product/15077689::خاک و کود آماده کاشت 20 لیتری
6,https://basalam.com/plant.kala/product/15262520,خاک کامل و کود گلدان ارگانیک و با کیفیت 5 لیتری,,40000,13333.3333333333,3.0,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,https://basalam.com/plant.kala/product/15262520::خاک کامل و کود گلدان ارگانیک و با کیفیت 5 لیتری
7,https://basalam.com/almase_sorkh/product/13788957,خاک و کود آماده کاشت گیلدا بسته 11 لیتری,,205000,34166.6666666666,6.0,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,https://basalam.com/almase_sorkh/product/13788957::خاک و کود آماده کاشت گیلدا بسته 11 لیتری
8,https://basalam.com/azinroyalcom/product/8802057,خاک برگ جنگلی و کود گیاهی ارگانیک شمال بسته 5 کیلویی,,75000,15306.122448979499,4.9,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,https://basalam.com/azinroyalcom/product/8802057::خاک برگ جنگلی و کود گیاهی ارگانیک شمال بسته 5 کیلویی
9,https://basalam.com/goldan.felezi/product/15077563,خاک و کود آماده کاشت 50 لیتری,,442800,8856,50.0,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,https://basalam.com/goldan.felezi/product/15077563::خاک و کود آماده کاشت 50 لیتری
