category,url,product_menu_url,name,is_available,price,price_per_kg,amount_kg
,https://basalam.com/golden_goldon/product/9762838,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک ژله ای 3 گرمی هفت رنگ رنگارنگ,True,10٬000,,
,https://basalam.com/goldoonbazaar/product/19513117,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک کاکتوس 2 لیتری ملکه,True,52٬000,26000.0,2.0
,https://basalam.com/atari_aleyasin2/product/2884084,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک رس (کیلویی),True,150٬000,,
,https://basalam.com/miadshimii/product/20248509,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک دیاتومه برای دفع حشرات موزی 5کیلویی,True,1٬000٬000,200000.0,5.0
,https://basalam.com/khakdaneh/product/15540157,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک فوق سبک غنی شده، بنفشه آفریقایی خاک دانه(حجم 4 لیتر),True,139٬000,34750.0,4.0
,https://basalam.com/cafegoll_com/product/8662252,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک مخصوص گیاهان آپارتمانی کوکوپیت، پرلیت ،پیت ماس و.. (پس کرایه),True,95٬000,,
,https://basalam.com/cafegoll_com/product/4049563,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک پیت ماس کیفیت عالی (پس کرایه),True,39٬000,,
,https://basalam.com/mkt/product/5839440,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک گلدان سایز بزرگ 20 لیتری آقای خاک,True,227٬800,11390.0,20.0
,https://basalam.com/asilzade/product/9354932,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک سفید مخصوص شیره انگور,True,36٬000,,
,https://basalam.com/pardisangolkade/product/7024562,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک گیاهان آپارتمانی استریل(3 لیتری حاوی پیت ماس وکوکوپیت و پرلیت و لیکاپون) (پس کرایه),True,88٬000,29333.33333333333,3.0
,https://basalam.com/keshavarzmarket/product/18824964,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک گل بنفشه آفریقایی باغبان,True,157٬000,,
,https://basalam.com/golkhanekochek/product/10920046,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک مخصوص سانسوریا و زاموفیلیا استریل,True,100٬000,,
,https://basalam.com/hastimahdi/product/14502188,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک ژله ای مدل Seven Color بسته 5 عددی,True,49٬900,,
,https://basalam.com/dargol1367/product/12070501,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک سبزی کاری 4 لیتری (پس کرایه),True,120٬000,30000.0,4.0
,https://basalam.com/dargol1367/product/12072493,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک بن سای گیلدا 2لیتری (پس کرایه),True,70٬000,35000.0,2.0
,https://basalam.com/hamyargol/product/19382934,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک قلمه 3 لیتری,True,70٬000,23333.33333333333,3.0
,https://basalam.com/kafel/product/21938606,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک پلنت و بذر مونت کارلو اکواریوم (پس کرایه),True,95٬000,,
,https://basalam.com/gol-nardouneh/product/21171,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک سبک یک لیتری,True,30٬000,,
,https://basalam.com/mahuragol/product/12684346,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک مخصوص گلهای آپارتمانی,True,50٬000,,
,https://basalam.com/bgroma/product/21034807,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک برگ بزرگ (پس کرایه) خاک سبک,True,130٬000,,
,https://basalam.com/bgroma/product/21034817,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک برگ متوسط (پس کرایه) خاک سبک,True,40٬000,,
,https://basalam.com/v_329363/product/17787803,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک ژله ای شفاف بسته های پر پنج عددی,True,60٬000,,
,https://basalam.com/danagupall/product/10384889,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک گلدان 2 لیتری داناگوپال,True,100٬000,50000.0,2.0
,https://basalam.com/minamgallery/product/13828184,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک ژله ای رنگی بسته ی 24 عددی بسیار مرغوب,True,450٬000,,
,https://basalam.com/itariegolenarges/product/8975484,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85,خاک رس سفید 150 گرم,True,165٬000,,
,https://basalam.com/golkhanekochek/product/17411814,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=2,خاک پوکه درشت,True,45٬000,,
,https://basalam.com/liankesht/product/17685472,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=2,خاک مخصوص کشت انواع گیاهان (2 لیتری),True,99٬000,49500.0,2.0
,https://basalam.com/atlasiha/product/23801069,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=2,خاک بستر آماده کاشت بهکام 5 لیتر,True,95٬000,19000.0,5.0
,https://basalam.com/keshmesh.karchan/product/22132819,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=2,خاکشیر ارگانیک اعلا تمیز و بدون خاک,True,300٬000,,
